n_a,n_b,cost_weight,cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,a_cost_yuan,b_cost_yuan,successes,trials,estimate,wilson_one_sided_lower,wilson_one_sided_upper,clopper_pearson_one_sided_lower,clopper_pearson_one_sided_upper,screening_empirically_feasible,screening_cp_lower_feasible,configuration_fingerprint,artifact_path,artifact_sha256
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2000,0.0,0.0,0.0013509442079184157,0.0,0.0014967448951882837,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
0,1000,64000,1.6755160819145563,0.0,33.51032163829113,33.51032163829113,0.0,3.351032163829113,3.351032163829113,0.0,1.6755160819145563,0,2000,0.0,0.0,0.0013509442079184157,0.0,0.0014967448951882837,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
120,0,68040,1.7812830345854127,1.696460032938488,0.0,1.696460032938488,0.1696460032938488,0.0,0.1696460032938488,1.7812830345854127,0.0,0,2000,0.0,0.0,0.0013509442079184157,0.0,0.0014967448951882837,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
0,2000,128000,3.3510321638291125,0.0,67.02064327658226,67.02064327658226,0.0,6.702064327658226,6.702064327658226,0.0,3.3510321638291125,0,2000,0.0,0.0,0.0013509442079184157,0.0,0.0014967448951882837,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
120,1000,132040,3.456799116499969,1.696460032938488,33.51032163829113,35.20678167122962,0.1696460032938488,3.351032163829113,3.520678167122962,1.7812830345854127,1.6755160819145563,4,2000,0.002,0.0008981986047236126,0.0044473418263631295,0.0006834384380457398,0.004570865405067718,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
240,0,136080,3.5625660691708254,3.392920065876976,0.0,3.392920065876976,0.3392920065876976,0.0,0.3392920065876976,3.5625660691708254,0.0,17,2000,0.0085,0.005725050063867489,0.012602928092516313,0.005423089474141603,0.012722509763437454,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
0,3000,192000,5.026548245743669,0.0,100.5309649148734,100.5309649148734,0.0,10.05309649148734,10.05309649148734,0.0,5.026548245743669,0,2000,0.0,0.0,0.0013509442079184157,0.0,0.0014967448951882837,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
120,2000,196040,5.132315198414525,1.696460032938488,67.02064327658226,68.71710330952075,0.1696460032938488,6.702064327658226,6.871710330952076,1.7812830345854127,3.3510321638291125,6,2000,0.003,0.0015521085428662623,0.005790729999804643,0.001307287960529155,0.005912552001896778,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
240,1000,200080,5.238082151085382,3.392920065876976,33.51032163829113,36.90324170416811,0.3392920065876976,3.351032163829113,3.690324170416811,3.5625660691708254,1.6755160819145563,50,2000,0.025,0.01986752825262858,0.031415868744893924,0.01953165019010444,0.031538027740025856,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
360,0,204120,5.343849103756238,5.0893800988154645,0.0,5.0893800988154645,0.5089380098815465,0.0,0.5089380098815465,5.343849103756238,0.0,180,2000,0.09,0.08002064823229287,0.10108712601820023,0.07967464720167272,0.10122719269441041,False,False,A70E133A2F187478418088584E767EF7898BD88AAD6CA3A342AF4FF33803635C,C:\Users\23258\Desktop\华数杯\A题_微构体导电仿真优化\问题\问题4\results\D_screen2000_confirm50000\screening\pareto_max_A000720_B006000\mixed_pareto_frontier_samples.json,B6FB802F2927E9958E460122BFACA17C37B3803041CE39A9C3155F81475B4AA1
