sheet,scenario,sheet_row,particle_id,component_status,chain_order,orientation_reversed,segment_length_nm,component_total_length_nm,component_residual_nm
组1,row_literal,3,组1_row_literal_P0001,cannot_reconstruct,1,False,2447.8138479470927,2447.8138479470927,-2552.1861520529073
组1,row_literal,4,组1_row_literal_P0002,cannot_reconstruct,1,False,2315.534369816957,2315.534369816957,-2684.465630183043
组1,row_literal,5,组1_row_literal_P0003,cannot_reconstruct,1,False,1062.1411789741362,1062.1411789741362,-3937.858821025864
组1,row_literal,6,组1_row_literal_P0004,unique,1,False,5000.000000000005,5000.000000000005,4.547473508864641e-12
组1,row_literal,7,组1_row_literal_P0005,unique,1,False,5000.000000000003,5000.000000000003,2.7284841053187847e-12
组1,row_literal,8,组1_row_literal_P0006,cannot_reconstruct,1,False,1419.6467067908795,1419.6467067908795,-3580.3532932091202
组1,row_literal,9,组1_row_literal_P0007,cannot_reconstruct,1,False,3580.3532932091184,3580.3532932091184,-1419.6467067908816
组1,row_literal,10,组1_row_literal_P0008,cannot_reconstruct,1,False,4423.311529464218,4423.311529464218,-576.6884705357816
组1,row_literal,11,组1_row_literal_P0009,cannot_reconstruct,1,False,3937.8588210258636,3937.8588210258636,-1062.1411789741364
组1,row_literal,12,组1_row_literal_P0010,cannot_reconstruct,1,False,2684.465630183044,2684.465630183044,-2315.534369816956
组1,row_literal,13,组1_row_literal_P0011,cannot_reconstruct,1,False,1019.1172545934198,1019.1172545934198,-3980.8827454065804
组1,row_literal,14,组1_row_literal_P0012,cannot_reconstruct,1,False,1359.2513846976615,1359.2513846976615,-3640.7486153023383
组1,full_cube_periodic,3,组1_full_cube_periodic_P0001,cannot_reconstruct,1,True,2447.8138479470927,3807.0652326447544,-1192.9347673552456
组1,full_cube_periodic,14,组1_full_cube_periodic_P0001,cannot_reconstruct,2,True,1359.2513846976615,3807.0652326447544,-1192.9347673552456
组1,full_cube_periodic,4,组1_full_cube_periodic_P0002,unique,1,True,2315.534369816957,5000.000000000002,1.8189894035458565e-12
